Date,Average Cost,
2012.05.09,48.45,
2012.05.10,44.30,
2012.05.11,45.75,
2012.05.12,43.89,
2012.05.13,29.50,
2012.05.14,41.57,
2012.05.15,46.41,
2012.05.16,46.36,
2012.05.17,55.64,
2012.05.18,54.51,
2012.05.19,59.41,
2012.05.20,28.97,
2012.05.21,37.74,
2012.05.22,41.51,
2012.05.23,46.87,
2012.05.24,40.64,
2012.05.25,41.83,
2012.05.26,44.92,
2012.05.27,18.22,
2012.05.28,23.68,
2012.05.29,37.42,
2012.05.30,45.37,
2012.05.31,46.65,
2012.06.01,41.91,
2012.06.02,39.85,
2012.06.03,27.26,
2012.06.04,43.79,
2012.06.05,43.75,
2012.06.06,47.24,
2012.06.07,42.29,
2012.06.08,40.44,
2012.06.09,28.31,
2012.06.10,27.32,
2012.06.11,45.59,
2012.06.12,45.35,
2012.06.13,48.56,
2012.06.14,46.28,
2012.06.15,42.09,
2012.06.16,33.59,
2012.06.17,20.49,
2012.06.18,40.49,
2012.06.19,50.35,
2012.06.20,51.27,
2012.06.21,57.51,
2012.06.22,39.72,
2012.06.23,61.05,
2012.06.24,35.26,
2012.06.25,41.01,
2012.06.26,53.04,
2012.06.27,49.50,
2012.06.28,56.71,
2012.06.29,49.65,
2012.06.30,33.95,
2012.07.01,54.81,
2012.07.02,76.82,
2012.07.03,116.73,
2012.07.04,81.97,
2012.07.05,53.70,
2012.07.06,93.74,
2012.07.07,52.69,
2012.07.08,45.58,
2012.07.09,87.08,
2012.07.10,79.20,
2012.07.11,89.52,
2012.07.12,56.23,
2012.07.13,61.40,
2012.07.14,49.10,
2012.07.15,25.48,
2012.07.16,45.12,
2012.07.17,59.49,
2012.07.18,45.91,
2012.07.19,55.70,
2012.07.20,52.24,
2012.07.21,37.93,
2012.07.22,26.01,
2012.07.23,38.18,
2012.07.24,43.05,
2012.07.25,47.49,
2012.07.26,50.64,
2012.07.27,57.62,
2012.07.28,44.59,
2012.07.29,26.51,
2012.07.30,56.61,
2012.07.31,57.61,
2012.08.01,53.78,
2012.08.02,66.24,
2012.08.03,60.15,
2012.08.04,63.12,
2012.08.05,63.78,
2012.08.06,47.81,
2012.08.07,49.24,
2012.08.08,66.33,
2012.08.09,61.86,
2012.08.10,73.94,
2012.08.11,57.85,
2012.08.12,45.44,
2012.08.13,50.38,
2012.08.14,72.08,
2012.08.15,59.04,
2012.08.16,57.03,
2012.08.17,56.01,
2012.08.18,57.25,
2012.08.19,42.11,
2012.08.20,56.11,
2012.08.21,72.23,
2012.08.22,79.18,
2012.08.23,66.05,
2012.08.24,81.04,
2012.08.25,61.00,
2012.08.26,60.45,
2012.08.27,65.81,
2012.08.28,56.26,
2012.08.29,62.41,
2012.08.30,67.50,
2012.08.31,52.64,
2012.09.01,45.10,
2012.09.02,34.19,
2012.09.03,50.66,
2012.09.04,56.44,
2012.09.05,67.46,
2012.09.06,51.60,
2012.09.07,52.44,
2012.09.08,57.60,
2012.09.09,45.60,
2012.09.10,50.51,
2012.09.11,52.88,
2012.09.12,57.22,
2012.09.13,54.26,
2012.09.14,41.71,
2012.09.15,41.49,
2012.09.16,33.08,
2012.09.17,51.60,
2012.09.18,52.79,
2012.09.19,53.49,
2012.09.20,52.93,
2012.09.21,50.63,
2012.09.22,67.58,
2012.09.23,36.70,
2012.09.24,45.38,
2012.09.25,62.44,
2012.09.26,52.59,
2012.09.27,46.28,
2012.09.28,49.45,
2012.09.29,40.21,
2012.09.30,27.03,
2012.10.01,52.21,
2012.10.02,52.70,
2012.10.03,71.33,
2012.10.04,48.91,
